"POSICAO","TEMPO"
1.500000e-04, 1.128903e+03  
4.500000e-04, 1.117792e+03  
7.500000e-04, 1.106682e+03  
1.050000e-03, 1.095571e+03  
1.350000e-03, 1.084461e+03  
1.650000e-03, 1.073352e+03  
1.950000e-03, 1.062242e+03  
2.250000e-03, 1.051133e+03  
2.550000e-03, 1.040024e+03  
2.850000e-03, 1.028915e+03  
3.150000e-03, 1.017807e+03  
3.450000e-03, 1.006699e+03  
3.750000e-03, 9.955910e+02  
4.050000e-03, 9.844834e+02  
4.350000e-03, 9.733761e+02  
4.650000e-03, 9.622690e+02  
4.950000e-03, 9.511622e+02  
5.250000e-03, 9.400557e+02  
5.550000e-03, 9.289495e+02  
5.850000e-03, 9.178435e+02  
6.150000e-03, 9.067377e+02  
6.450000e-03, 8.956323e+02  
6.750000e-03, 8.845270e+02  
7.050000e-03, 8.734221e+02  
7.350000e-03, 8.623174e+02  
7.650000e-03, 8.512129e+02  
7.950000e-03, 8.401087e+02  
8.250000e-03, 8.290048e+02  
8.550000e-03, 8.179011e+02  
8.850000e-03, 8.067976e+02  
9.150000e-03, 7.956944e+02  
9.450000e-03, 7.845914e+02  
9.750000e-03, 7.734887e+02  
1.005000e-02, 7.623862e+02  
1.035000e-02, 7.512839e+02  
1.065000e-02, 7.401819e+02  
1.095000e-02, 7.290801e+02  
1.125000e-02, 7.179786e+02  
1.155000e-02, 7.068772e+02  
1.185000e-02, 6.957761e+02  
1.215000e-02, 6.846752e+02  
1.245000e-02, 6.735746e+02  
1.275000e-02, 6.624741e+02  
1.305000e-02, 6.513739e+02  
1.335000e-02, 6.402739e+02  
1.365000e-02, 6.291740e+02  
1.395000e-02, 6.180744e+02  
1.425000e-02, 6.069750e+02  
1.455000e-02, 5.958758e+02  
1.485000e-02, 5.847768e+02  
1.515000e-02, 5.736780e+02  
1.545000e-02, 5.625794e+02  
1.575000e-02, 5.514809e+02  
1.605000e-02, 5.403827e+02  
1.635000e-02, 5.292846e+02  
1.665000e-02, 5.181867e+02  
1.695000e-02, 5.070890e+02  
1.725000e-02, 4.959914e+02  
1.755000e-02, 4.848941e+02  
1.785000e-02, 4.737968e+02  
1.815000e-02, 4.626998e+02  
1.845000e-02, 4.516029e+02  
1.875000e-02, 4.405062e+02  
1.905000e-02, 4.294096e+02  
1.935000e-02, 4.183131e+02  
1.965000e-02, 4.072168e+02  
1.995000e-02, 3.961207e+02  
2.025000e-02, 3.850246e+02  
2.055000e-02, 3.739288e+02  
2.085000e-02, 3.628330e+02  
2.115000e-02, 3.517374e+02  
2.145000e-02, 3.406418e+02  
2.175000e-02, 3.295464e+02  
2.205000e-02, 3.184512e+02  
2.235000e-02, 3.073560e+02  
2.265000e-02, 2.962609e+02  
2.295000e-02, 2.851659e+02  
2.325000e-02, 2.740711e+02  
2.355000e-02, 2.629763e+02  
2.385000e-02, 2.518816e+02  
2.415000e-02, 2.407870e+02  
2.445000e-02, 2.296925e+02  
2.475000e-02, 2.185980e+02  
2.505000e-02, 2.075036e+02  
2.535000e-02, 1.964093e+02  
2.565000e-02, 1.853151e+02  
2.595000e-02, 1.742209e+02  
2.625000e-02, 1.631268e+02  
2.655000e-02, 1.520327e+02  
2.685000e-02, 1.409386e+02  
2.715000e-02, 1.298447e+02  
2.745000e-02, 1.187507e+02  
2.775000e-02, 1.076568e+02  
2.805000e-02, 9.656291e+01  
2.835000e-02, 8.546905e+01  
2.865000e-02, 7.437522e+01  
2.895000e-02, 6.328140e+01  
2.925000e-02, 5.218759e+01  
2.955000e-02, 4.109379e+01  
2.985000e-02, 3.000000e+01  
